#id redshift FUV_wl FUV FUV_err NUV_wl NUV NUV_err u_wl u u_err g_wl g g_err r_wl r r_err i_wl i i_err z_wl z z_err J_wl J J_err H_wl H H_err K_wl K K_err W1_wl W1 W1_err W2_wl W2 W2_err W3_wl W3 W3_err W4_wl W4 W4_err
22 0.043542 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.0002875666214472273 0.0013884157879382505 4686 0.13448003999984065 0.0037464401120198376 6166 0.2669265320613216 0.0059082899736143685 7480 0.3415487928645071 0.008689300067825062 8932 0.4692714272359232 0.03478061701687853 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.28746868383543767 0.015020385704756988 46000 0.1458784816435974 0.020459657248098954 120000 0.41063336115272847 -99.0 220000 1.657193966707833 -99.0
23 0.044276 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.07411684975627213 0.007669029484770744 4686 0.3299090881130375 0.0038415699421736654 6166 0.6761606147566455 0.0074352672886827675 7480 0.9407375771410147 0.009328561903083935 8932 1.1743394405352814 0.0299062889663115 12350 1.5301641392404528 0.24125823999688237 16620 2.0330649001203396 0.37459587326483096 21590 1.8583894863687238 0.41055322795704696 34000 0.7143498550439843 0.018335159022181673 46000 0.40428386413611406 0.02260642727332319 120000 0.4255792154108793 -99.0 220000 1.5162015907920199 -99.0
24 0.044186 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.14531180958769124 0.007993992681498823 4686 0.730054190421515 0.4088868202352883 6166 1.5206922522207083 0.9861210799125307 7480 2.257176008497567 0.1478598096309291 8932 2.472982981152745 1.2723698395709582 12350 3.7162571754809934 0.2350555663660314 16620 4.910552297085023 0.3781162267398361 21590 3.678972841888466 0.45864976883979086 34000 2.872351902365016 0.023697135070790697 46000 1.5685086326271451 0.024442832031357865 120000 0.44758580433358636 -99.0 220000 1.9924750177542025 -99.0
25 0.043674 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.0736279413904847 0.00910105175131288 4686 0.20426085469561306 0.003764949253532551 6166 0.379400632767022 0.005789598067842218 7480 0.47629259581410044 0.008151199227462349 8932 0.5420812380926303 0.03414078210141553 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.31709398785933685 0.02034706331682781 46000 0.0890860240511845 0.025152200237864897 120000 0.5887221120408515 -99.0 220000 1.9562787677085012 -99.0
26 0.041015 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.08412946018775487 0.004278338997378635 4686 0.2062887507157497 0.0021246051359660218 6166 0.23459411808712513 0.003018780589941282 7480 0.2844145406263402 0.0042440921314945215 8932 0.3024319234993055 0.01574642414766869 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.08974172929095285 0.010941119554823681 46000 0.0643990763118254 0.014463100743023878 120000 0.2903820182812607 -99.0 220000 1.791482016808117 0.7012227808716774
27 0.04644 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.1300568788382971 0.03545393337332683 4686 0.3410764548795595 0.3252809195146883 6166 0.5407043700710545 0.533840395260324 7480 0.6857426189623215 0.5643303470940519 8932 0.7692831665102199 0.26008042593037306 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.9032883241423308 0.028980783976308537 46000 0.5051570872962909 0.0296361724444288 120000 0.9396043201676954 0.17915297672243474 220000 3.200473915537333 -99.0
28 0.045592 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.1057875130446818 0.006787096779129803 4686 0.5561670429933786 0.0038723282173881357 6166 1.188761672561959 0.006794224697971933 7480 1.6828360918001648 0.010123812544696041 8932 2.208269132046277 0.028397928827520423 12350 2.874986124552074 0.23982410590003236 16620 3.409444982616922 0.371917262727938 21590 3.057094990781933 0.40914521641569 34000 1.3808611674580287 0.017721225051091725 46000 0.746483315131822 0.024634190444708867 120000 0.5019260085008926 -99.0 220000 1.3384876635266356 -99.0
29 0.046761 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.06544517086289463 0.007133941925155696 4686 0.2475098565660488 0.0051365754940512764 6166 0.4955585653870141 0.008118096026390135 7480 0.6899332089306602 0.010840011804595803 8932 0.8777731878585767 0.03631973885214348 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.41327675624171056 0.014017107139813894 46000 0.22671527583080264 0.02119808571328116 120000 0.08009937821781042 -99.0 220000 1.8910402645755529 -99.0
30 0.041657 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.6428713889913229 0.01847433784013617 4686 1.5410520197576398 0.008530113194221638 6166 2.2443870708395965 0.01268393462589269 7480 2.870332116110217 0.016048713473982106 8932 3.310157511025325 0.06430426485878002 12350 5.352447481234894 0.5249910274841759 16620 4.755504419764044 0.871851008011962 21590 4.513406821169102 0.9515859160571513 34000 2.2590901769099827 0.03106279388170481 46000 1.4832090812680891 0.03263091908118319 120000 6.364945214670085 0.2683911494238638 220000 10.233264139734116 1.2945205805500122
31 0.045236 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.5597548849269496 0.020510666888534 4686 1.5432263412572425 0.009564216073131886 6166 2.5951731427398306 0.014518819398585726 7480 3.5006398916588166 0.021442941020218004 8932 4.2144544837640625 0.07193905377005082 12350 5.231180860401954 0.6281837817599395 16620 7.3501718918487065 1.003920800918769 21590 6.982380217117351 1.2161097874392608 34000 2.9632840924358033 0.0353128143038021 46000 1.8979868745202377 0.04349595814869539 120000 7.758643887367654 0.3556079911257326 220000 8.12252725425193 2.501762874039538
32 0.04553 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.10527058640241659 0.006909814415114254 4686 0.4378911827321762 0.015419050402664596 6166 0.8627850311636052 0.031890428571955426 7480 1.1575991996232393 0.042438758219245365 8932 1.4062910462531393 0.04823362274402499 12350 1.7175109838989633 0.2330112701623957 16620 2.319950267656659 0.3764156141511014 21590 2.3912017051770045 0.4581188760397412 34000 0.8211514249671845 0.0188182376251377 46000 0.44799628344494347 0.021765365744631907 120000 0.614640799323491 -99.0 220000 1.4562643987514876 -99.0
33 0.046826 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.206473110873091 0.008797837893193753 4686 0.554953609145815 0.008836910150167 6166 0.8533736748510619 0.009960541301470421 7480 1.0751040658606321 0.012964675985137364 8932 1.2266372207712886 0.02979148453824184 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.9191585531469185 0.016008834780297257 46000 0.5963261417119486 0.02022559288033002 120000 3.2806748219247543 0.1654023073989766 220000 3.0431152300402746 0.8536021745168262
34 0.044483 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.22536324857484075 0.016159925643184258 4686 0.8669319023071497 0.013022950896305206 6166 1.7382613645255856 0.03269715961473717 7480 2.5224991420844662 0.06033921974312892 8932 3.1812763957630126 0.055424949133701676 12350 5.09394940923041 0.3548819480267743 16620 6.868115105029755 0.5666250405864972 21590 7.438286274543069 0.6886680761964602 34000 3.229946758973853 0.023686508004768486 46000 2.1937853789910506 0.032175833732147434 120000 4.647762316107233 0.22154550488879193 220000 8.115084943026385 1.2794909124922897
35 0.04311 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.16225402272440187 0.011622655212841643 4686 0.5914522854102436 0.008351135139931949 6166 1.1616527473706 0.01263411273045845 7480 1.626959700503506 0.023081444862483095 8932 2.0690919737338764 0.05349260131548153 12350 2.3955896389493154 0.35794452103731866 16620 4.256235228406486 0.5696317219102968 21590 3.415701426291946 0.6888398612614722 34000 1.398696592821299 0.023078719606640322 46000 0.8378795843906195 0.026114169240447203 120000 0.9936410894792849 0.17761508270660226 220000 3.244784804688669 -99.0
36 0.045252 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.040761096375680046 0.0069170175166473 4686 0.16161682032033156 0.0025417033778539415 6166 0.2918630407263483 0.003850502862818575 7480 0.39636879766525057 0.005895032477375411 8932 0.5309731938428793 0.02466457539991174 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.26204852308963356 0.009848753362759186 46000 0.14494541571104513 0.014881208292172791 120000 0.3890146052345965 0.11161586597892584 220000 1.7127942709930277 -99.0
37 0.042387 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.16074846794905434 0.008995679454726726 4686 0.6860099721540488 0.005101981604023756 6166 1.4147824408578258 0.00799683818424347 7480 1.9675719723044596 0.012491979098113688 8932 2.5116918761007643 0.03557077980070215 12350 3.7919632396730085 0.3684560334609351 16620 4.937635008908997 0.5703024239336986 21590 3.437689528647627 0.6270980009997866 34000 1.6122416204523653 0.01921273397350739 46000 0.9684619036450789 0.02840849381714305 120000 0.4521218363069792 0.21136902671776814 220000 3.20340905708126 -99.0
38 0.043656 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.06415456037636492 0.005386546207749173 4686 0.28869974267019066 0.004172419967418694 6166 0.592334358955509 0.010088773553973196 7480 0.8021347753736383 0.01314027199396934 8932 1.0112115657597809 0.02604754630630538 12350 1.4710228245337478 0.1631625448320794 16620 1.9154652453720478 0.2616231880778925 21590 1.6832210953691478 0.3193943281172713 34000 0.7176315053609922 0.013156706336552344 46000 0.358866133767294 0.017435083601016227 120000 0.3268327321673601 0.11025265380580197 220000 1.9761045596645428 -99.0
